ID	GENUS	SPECIES_NAME	COMMON_NAME	AFFYMETRIX	EST	IN_SITU	RNA_SEQ	FULL_LENGTH
6239	Caenorhabditis	elegans	nematode	T	F	T	T	F
7227	Drosophila	melanogaster	fruit fly	T	T	T	T	F
7237	Drosophila	pseudoobscura		F	F	F	T	F
7240	Drosophila	simulans		F	F	F	T	F
7740	Branchiostoma	lanceolatum	Common lancelet	F	F	F	T	F
7897	Latimeria	chalumnae	Coelacanth	F	F	F	T	F
7918	Lepisosteus	oculatus	Spotted gar	F	F	F	T	F
7936	Anguilla	anguilla	European freshwater eel	F	F	F	T	F
7955	Danio	rerio	zebrafish	T	T	T	T	F
7994	Astyanax	mexicanus	Blind cave fish	F	F	F	T	F
8010	Esox	lucius	Northern pike	F	F	F	T	F
8030	Salmo	salar	Atlantic salmon	F	F	F	T	F
8049	Gadus	morhua	Atlantic cod	F	F	F	T	F
8081	Poecilia	reticulata	Guppy	F	F	F	T	F
8090	Oryzias	latipes	Japanese rice fish	F	F	F	T	F
8154	Astatotilapia	calliptera	Eastern happy	F	F	F	T	F
8355	Xenopus	laevis	African clawed frog	F	F	F	T	F
8364	Xenopus	tropicalis	western clawed frog	F	T	T	T	F
9031	Gallus	gallus	chicken	F	F	F	T	F
9103	Meleagris	gallopavo	Wild turkey	F	F	F	T	F
9258	Ornithorhynchus	anatinus	platypus	F	F	F	T	F
9483	Callithrix	jacchus	White-tufted-ear marmoset	F	F	F	T	F
9531	Cercocebus	atys	Sooty mangabey	F	F	F	T	F
9541	Macaca	fascicularis	Crab-eating macaque	F	F	F	T	F
9544	Macaca	mulatta	macaque	T	F	F	T	F
9545	Macaca	nemestrina	Pig-tailed macaque	F	F	F	T	F
9555	Papio	anubis	Olive baboon	F	F	F	T	F
9593	Gorilla	gorilla	gorilla	F	F	F	T	F
9597	Pan	paniscus	bonobo	F	F	F	T	F
9598	Pan	troglodytes	chimpanzee	F	F	F	T	F
9606	Homo	sapiens	human	T	T	F	T	T
9615	Canis	lupus familiaris	dog	F	F	F	T	F
9685	Felis	catus	cat	F	F	F	T	F
9796	Equus	caballus	horse	F	F	F	T	F
9823	Sus	scrofa	pig	F	F	F	T	F
9913	Bos	taurus	cattle	F	F	F	T	F
9925	Capra	hircus	Goat	F	F	F	T	F
9940	Ovis	aries	Sheep	F	F	F	T	F
9974	Manis	javanica	Malayan pangolin	F	F	F	T	F
9986	Oryctolagus	cuniculus	rabbit	F	F	F	T	F
10090	Mus	musculus	mouse	T	T	T	T	T
10116	Rattus	norvegicus	rat	T	F	F	T	F
10141	Cavia	porcellus	guinea pig	F	F	F	T	F
10181	Heterocephalus	glaber	Naked mole rat	F	F	F	T	F
13616	Monodelphis	domestica	opossum	F	F	F	T	F
28377	Anolis	carolinensis	green anole	F	F	F	T	F
30608	Microcebus	murinus	Gray mouse lemur	F	F	F	T	F
32507	Neolamprologus	brichardi	Fairy cichlid	F	F	F	T	F
52904	Scophthalmus	maximus	Turbot	F	F	F	T	F
60711	Chlorocebus	sabaeus	Green monkey	F	F	F	T	F
69293	Gasterosteus	aculeatus	Three-spined stickleback	F	F	F	T	F
105023	Nothobranchius	furzeri	Turquoise killifish	F	F	F	T	F





